Key,Korean (South Korea)(ko-KR),English (United States)(en-US)
moonradio_main_text,"달에게 보내는 편지를 적을 수도,\n달 사람들의 담소를 엿들을 수도 있습니다.\n어떤 채널로 설정할까요?","You can write letters to the Moon,\nor eavesdrop on the Moon Beings.\nWhich channel?"
moonradio_main_earth,> 지구 채널 - 365.3Hz,> Channel Earth - 365.3Hz
moonradio_main_moon,> 달 채널 - 27.32Hz,> Channel Moon - 27.32Hz
moonradio_main_exit,송신기 끄기 >>,Turn Radio Off >>
moonradio_turnOff_text,달나라 송신기는 달빛과 중력의 힘으로 작동하죠.\n창가에 놓아 두면 밤 사이 충전될 거예요.\n이제 송신기를 끌까요?,The Moon Radio is powered by moonlight and gravity.\nLeave it on the windowsill to charge overnight.\nTurn off the Moon Radio?
moonradio_turnOff_yes,"> 네, 이제 얘도 자야죠.","> Yes, it needs its rest."
moonradio_turnOff_no,"> 아직요, 조금만 더 놀게요.","> No, not just yet."
moonradio_earth_placeholder,달에게 보낼 편지를 입력해 주세요.,Write a letter to the Moon.
moonradio_earth_alert,"달까지 날기엔 편지가 무거워요!\n<b>500자 이내</b>로 줄이거나,\n여러 장으로 나눠 보내 주세요!","Too heavy to fly to the Moon!\nKeep it under 500 characters,\nor send a second letter!"
moonradio_earth_exit,채널 나가기 >>,Leave Channel
moonradio_earth_sent,"소원을 빌었나요, 안부를 물었나요?\n당신의 이야기는 중력을 타고 달의 뒤편까지 전해질 거예요.","Made a wish, asked after a friend? Your story will ride gravity on its way to the other side of the Moon."
moonradio_earth_popup,달나라에 소원 보내기를 그만두시겠어요?\n작성하던 내용은 저장되지 않습니다.,Stop sending your wish to the moon?\nYour draft will not be saved.
moonradio_earth_popup_no,더 적을래요.,Write more.
moonradio_earth_popup_yes,나갈게요.,"Yes, stop."
